Dia,Hora,Km,Entrega,Gorjeta,Promos,Local,Total,Base,Rest
17/10/2023,20:07:00,"4,10","€2,67","€1,90","€1,19",Churrasco Antonio,"€5,76","€1,40",Churrasco Antonio
17/10/2023,20:54:00,"2,00","€2,02","€0,00","€0,91",Kebabe,"€2,93",,Kebabe
18/10/2023,22:05:00,"4,00","€2,64","€0,00","€1,18",Só Visto,"€3,82",,Só Visto
19/10/2023,19:57:00,"2,50","€2,18","€0,00","€0,97",Kebabe,"€3,15",,Dragão
19/10/2023,20:56:00,"1,60","€1,90","€2,00","€0,85",Dragão,"€4,75",,Bubbles
20/10/2023,20:56:00,"4,80","€2,89","€0,14","€1,51",MC,"€4,54",,MC
20/10/2023,21:32:00,"1,40","€1,83","€2,00","€0,81",Bubbles,"€4,64",,Dragão
20/10/2023,22:48:00,"4,20","€2,70","€0,00","€1,08",Kebabe,"€3,78",,Dona Maria
21/10/2023,18:31:00,"2,40","€2,14","€0,00","€0,43",Kebabe,"€2,57",,Pizza Fratelli
21/10/2023,19:08:00,"1,40","€1,83","€0,00","€0,36",MC,"€2,19",,Lá Via
21/10/2023,20:25:00,"2,20","€2,08","€0,00","€1,03",Dragão,"€3,11",,
21/10/2023,20:51:00,"1,80","€1,96","€0,00","€0,98",Dona Maria,"€2,94",,
21/10/2023,21:21:00,"3,00","€2,33","€0,00","€1,15",Barão,"€3,48",,
21/10/2023,22:06:00,"3,50","€2,49","€1,16","€1,11",Kebabe,"€4,76",,
22/10/2023,12:53:00,"2,00","€2,02","€0,00","€0,80",Kebabe,"€2,82",,
22/10/2023,13:40:00,"2,90","€2,30","€0,00","€0,92",Kebabe,"€3,22",,
22/10/2023,15:45:00,"2,80","€2,27","€0,00","€0,33",Kebabe,"€2,60",,
22/10/2023,15:56:00,"3,30","€2,42","€0,00","€0,36",Bubbles,"€2,78",,
22/10/2023,16:07:00,"3,20","€2,39","€0,00","€0,35",Kebabe,"€2,74",,
22/10/2023,16:50:00,"1,90","€1,99","€0,00","€0,99",Dona Maria,"€2,98",,
22/10/2023,20:15:00,"1,70","€1,93","€0,00","€0,96",Pizza Fratelli,"€2,89",,
22/10/2023,20:37:00,"2,00","€2,02","€0,00","€1,01",MC,"€3,03",,
22/10/2023,21:38:00,"0,80","€1,65","€0,00","€0,73",MC,"€2,38",,
23/10/2023,21:53:00,"3,20","€2,39","€0,00","€0,95",Kebabe,"€3,34",,
25/10/2023,19:05:00,"1,50","€1,87","€0,00","€0,37",Churrasco Antonio,"€2,24",,
25/10/2023,20:07:00,"3,20","€2,39","€0,00","€1,08",MC,"€3,47",,
25/10/2023,20:41:00,"3,2","€2,39","€0,00","€1,06",Lá via,"€3,45",,
25/10/2023,21:52:00,"3,10","€2,36","€0,00","€0,94",Kebabe,"€3,30",,